Comment ID,Channel ID,Comment Create Timestamp,Price,Video ID,Comment Text
UgyNsjGHfy_LYwytVq14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-02-12T16:03:02+00:00,0,i__NsGm5fL4,"{""text"":""SONG ID ANYONE????""}"
Ugx0AIBOUYCtN4sMLTJ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-02-12T04:33:52+00:00,0,XerRaOHy1Xo,"{""text"":""haters can't see vivid""}"
UgwklEudpUC9pHUeBOZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-02-12T02:43:24+00:00,0,s4OuEHwPT7U,"{""text"":""just stun during standby phase........""}"
UgzFj_5otp1xXOldwcF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-02-10T00:04:02+00:00,0,Td5iOPXLix8,"{""text"":""i just noticed you look like mario""}"
Ugw3WHX6YM7gzkO0aol4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-02-09T01:45:32+00:00,0,r4ruFHJMzuU,"{""text"":""feel the mist... through the uterus...""}"
UgyOvepw4FSABkR2oYp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-02-08T03:37:56+00:00,0,fzzT0mcbBlQ,"{""text"":""i thought that was murda mookz hair""}"
UgznvZNhj0eBEmorAZZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-02-06T20:07:50+00:00,0, -GxZA9_Hfec,"{""text"":""I subscribed just for you""}"
UgwCLEGINSyKkdkEtMB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-02-02T03:13:30+00:00,0,GMH7L1_lPVs,"{""text"":""Taylor Gang or hang out with a sober wiz khalifa""}"
UgzgndVrAJ8XqBpR6054AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-01-31T00:59:54+00:00,0,GMH7L1_lPVs,"{""text"":""Taylor gang or eat a peanutbutter sandwhich.... WITHOUT MILK""}"
UgzEPjZ_EWF4ZI-Mb0d4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-01-28T04:12:26+00:00,0,UkukueGI_fk,"{""text"":""@dmclowlifeme oh... YOUR RIGHT GOOD LOOKIN OUT""}"
UgwkH3VWPPJB6Ryftl54AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-01-27T02:26:48+00:00,0,UkukueGI_fk,"{""text"":""I HEAR NIGGA AT 1:21-1:23""}"
UgzFAAqalOGrRjwGuqB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-01-22T03:34:04+00:00,0,hKD884fk6_I,"{""text"":""@TheKandiKraze bt - the emergency""}"
UgwzIL8aD5JOfHl_U354AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-01-18T01:34:59+00:00,0,RI8-3KseuGo,"{""text"":""woah.. whats the setup???""}"
UgyuNVIynntcYC0kDsB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-01-07T04:28:00+00:00,0,vlVxtTsrNvI,"{""text"":""song ID anyone?""}"
UgwyJfDXqHsXOYL5GXR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-01-07T01:27:03+00:00,0,THncQ6HTAF8,"{""text"":""song ID anyone? ):""}"
UgzpJbIHxYPeKwT-K0Z4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2011-01-01T04:35:04+00:00,0,N-bn6foV8Ms,"{""text"":""@Themis ohhh haha, well how does it run compared to gb with test tiger? :o""}"
UgxQ3YaLTNjo8QhP87h4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-31T19:16:37+00:00,0,ahA1fKkLWtk,"{""text"":""lovin the track. song iD?""}"
UgzddPav3jcFTUPV3H54AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-31T19:01:12+00:00,0,N-bn6foV8Ms,"{""text"":""since you have no test tigers. why not use wabokus? its a free tag out.""}"
UgzckvpoKWplIXMQakp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-31T05:20:29+00:00,0,Pib8eYDSFEI,"{""text"":""they all look high as fuck... I like it.""}"
UgxfJtDI759J7UaJ4Hl4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-30T23:36:45+00:00,0,1GR_mrew4nU,"{""text"":""deck is so blinged out O_O""}"
Ugx1bnZXo4bydKkZ8JZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-30T20:19:36+00:00,0,3lvHOd7wa4A,"{""text"":""@boobyduff he plays an anti meta gladiator beast build. He 2 thunder kings and hes not allowed to add cards to his hand because of thunder kings effect""}"
UgxroYvvsmV7eCNVB194AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-30T20:18:22+00:00,0,3lvHOd7wa4A,"{""text"":""my opinion would be..\n- torrential\n- trap dustshoot\n- samnite\n- starlight road\n\n\n+ darius\n+ prisma\n+ warning\n+ effect veiler? :O\n\nreasons for taking stuff out.\ntorrential because well you got dark hole and gbs dont need to blow up their own field\ndustshoot because if you dont draw it first turn... it will most likely be dead later game\nsamnite... idk... rescue cat is gone. just my point of view\nstarlight road. great card. but good in the side deck\n\notherwise in my eyes everything is good. ""}"
UgzanEriUAiP-IXNZx94AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-23T05:30:12+00:00,0,gVaj4Vwt2wE,"{""text"":""SUPER RARE OCG BOOK OF MOON!!!! ""}"
UgwgDS8wI3s40NHYZk14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-22T20:54:19+00:00,0,UoBwjl9dBJI,"{""text"":""@joker11017 I think he would've gotten solemend anyway""}"
UgxmE9BVz-sd_KYegwh4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-22T19:28:51+00:00,0,HtIAVX_jGDU,"{""text"":""@asianman1994 oh wait forget my last comment you are right. thanks for telling me! (:""}"
UgwkuuIa6uno--XHPVN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-22T19:28:11+00:00,0,HtIAVX_jGDU,"{""text"":""@asianman1994 no... Thunder king stops from adding cards from their deck the their hand... LOL just saying.""}"
Ugws6FHBRvlTXN8XjLR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-21T15:45:51+00:00,0,zKtEI3uwVKo,"{""text"":""@ultrashn27 THAANKS!""}"
Ugz8R8CFmzJkQrs9qBN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-19T07:04:24+00:00,0,zKtEI3uwVKo,"{""text"":""great show!!! song id please anyone?""}"
Ugz0vtkgTGarIQzx_WB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-19T00:23:16+00:00,0,HtIAVX_jGDU,"{""text"":""hmm just wondering, why no proving ground?""}"
