Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text,Top-Level Comment ID
UgwsxuBJy4-ipzjKjJl4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-07-01T17:56:00.09837+00:00,0,,,Kn_4YN4JzDI,"{""text"":""Where lit baby""}",
UgxFhpGwi_Xazcybv154AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-06-25T00:19:12.649851+00:00,0,,,BOQ-wZQhZZo,"{""text"":""oh shit its killmonger""}",
UgylvPGtA9e_ikriLNB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-06-23T03:04:18.727247+00:00,0,,,XLt826x_EhU,"{""text"":""VERY RARE!""}",
UgzYMJOGW6A-_WHxLpx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-06-21T12:17:33.595422+00:00,0,,,IdjLOHYZjQU,"{""text"":""lowkey fk wit the chorus""}",
Ugw-2pWEECPZh_XhLbd4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-06-19T14:16:16.09501+00:00,0,,,meC1mlArMTE,"{""text"":""cold""}",
UgzbQ4jcqa4hSchp4CV4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-06-18T12:30:49.38279+00:00,0,,,BYZNP9IPN5U,"{""text"":""“Who wants to do lines?”""},{""text"":""\n""},{""text"":""\n""},{""text"":""“Let’s do lines!!” ""},{""text"":""\n""},{""text"":""\n""},{""text"":""Me: where the cocaine""}",
UgyGczfY-eTACTIahTF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-06-18T12:10:11.588263+00:00,0,,,0V9Tya527QI,"{""text"":""Fancy sloppy joe""}",
UgwZJ5K9or7irWXsOch4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-06-07T04:49:36.727932+00:00,0,,,A7HBCQwJcTs,"{""text"":""2018""}",
UgxuDWisssCkWakQcuh4AaABAg.8gsqaRdHvU-8gtdPtoH4Oj,UCbClSOItOom1IT8ZLKnZYEA,2018-05-31T01:49:12.577131+00:00,0,UgxuDWisssCkWakQcuh4AaABAg,,RzfAX6z5sJk,"{""text"":""How is it ruined 0.0""}",UgxuDWisssCkWakQcuh4AaABAg
Ugx2DAOUgRl-k_p-dHd4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-05-24T07:09:48.413073+00:00,0,,,anm4W8aqOsY,"{""text"":""is that the same girl from the zias video?""}",
UgxJV_ITRk0QBh3bAM54AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-05-10T09:14:20.705671+00:00,0,,,5m_YFSec17g,"{""text"":""What is the name of the instrumentals in the background ?""}",
UgzykKls3wCEYgDXNwl4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-05-08T09:25:57.675703+00:00,0,,,Jk2AeEEiHRA,"{""text"":""Damn zz posted a vid on main channel""}",
UgwVrG2WHy8uTzpda6x4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-05-06T01:49:38.302603+00:00,0,,,bgrQUluVrj0,"{""text"":""now weed is legal in california""}",
Ugyr1PHU6jJKbajurHV4AaABAg.8YtciVvLTSz8fqzuDRCC92,UCbClSOItOom1IT8ZLKnZYEA,2018-05-05T04:36:36.53546+00:00,0,Ugyr1PHU6jJKbajurHV4AaABAg,,WsCIYSoLoPI,"{""text"":""you a opp""}",Ugyr1PHU6jJKbajurHV4AaABAg
Ugx4ph_pbAD2-3iipiZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-05-04T09:49:15.865272+00:00,0,,,3xiARSYWD78,"{""text"":""58 people think paprika is spicy""}",
UgwVydDfiVKLpNyE6dJ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-05-02T08:44:20.775163+00:00,0,,,4KYpfxw2juc,"{""text"":""Sam I been binge watching your vids and the progress in production over the years is phenomenal. Not only that your kitchen is baller as hell! I aspire to have at least half of your kitchen when I get older. Keep up the good work my dude you earned a new sub.""}",
Ugzsi4zCu-uJVyq1nhZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-05-01T04:48:02.518109+00:00,0,,,x3TqlVGtx-k,"{""text"":""dude this guy is ballin""}",
Ugyuw2y3jbV_X8OGaNB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-04-30T17:42:30.799874+00:00,0,,,eo3Jb6AtvHM,"{""text"":""‘We slide through your block in an audi’ pulls up in a grocery cart""}",
UgxMj-75tT5GVz7VnK14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-04-21T04:06:41.957643+00:00,0,,,n7hw5jmD32k,"{""text"":""AYEE!!! not sure if you read my comment and took the suggestion but thanks! :-)""}",
UgzsySAm3QvZU-cGko54AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-03-31T02:42:19.042248+00:00,0,,,YLlTXGiHf0M,"{""text"":""can you please do a 4/20 feast. I know you don't smoke weed but make a munchie feast for your marijuana user subscribers! !! ""},{""text"":""not me""}",
UgwwFJWGZmnJzjhOvs14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-03-29T17:38:38.42214+00:00,0,,,gqhu8dBZMdI,"{""text"":""gyutan is actually japanese. I believe the korean way to say beef tongue is woosul""}",
Ugy27cQgKRw33gHxzgp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-03-23T23:28:58.343441+00:00,0,,,YZpdMBYmkeA,"{""text"":""So this is where kevjumba went""}",
Ugw5vtClzpsNB-cN0nB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-03-10T17:01:20.371054+00:00,0,,,Fi4YmLiC18E,"{""text"":""YOUNG PUT ASIANS ON THE MAP ""},{""text"":""\n""},{""text"":""\n""},{""text"":""Having a song with lil durk means legit street credit""},{""text"":""\n""},{""text"":""\n""},{""text"":""Edit: What I mean is as Asian hip hop artist/gangster. Some out of state people probably won't take him seriously and stereotype. It's a fact being an Asian in America, especially with all the bullshit going on rn in our community.""}",
Ugw2DoGMKUs87fHO3sx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-02-28T01:46:26.535793+00:00,0,,,WNRZGOx5aaw,"{""text"":""That drake flow heat on this track""}",
UgzC4NIMLDyJbtLlioh4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-02-21T07:41:12.524451+00:00,0,,,PPHJWLxz7jA,"{""text"":""Instrumental sound like whatchu doin - trouble""}",
UgwgrRfhyNWmufT0giJ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-01-31T04:55:53.582438+00:00,0,,,IaVsvG567Qk,"{""text"":""3rd""}",
Ugzv9mAO31WkolHpD0l4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-01-22T00:35:19.682709+00:00,0,,,TYiK6a2wejw,"{""text"":""i go to this in n out""}",
UgyWQEWDg2TAh-VaQcd4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2018-01-21T19:08:53.771741+00:00,0,,,JeKxkU5ei5c,"{""text"":""First""}",
UgwtBlEIP8suWe56h5J4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2017-12-30T13:56:50.241325+00:00,0,,,ho3ewHISMi0,"{""text"":""The level 1 Jax bug at dragon I abused the hell out of. When dragon was free assist for whole team""}",
Ugx3aMkCHHzjfJK2V8F4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2017-12-17T20:59:57.98858+00:00,0,,,_YctgmLXvD4,"{""text"":""turn into a fitness channel and go from fat to fit in honor of grandpa""}",
UgziT5dOJXNbX5NvQll4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2017-12-01T18:29:04.086717+00:00,0,,,xXP9xBgTFv8,"{""text"":""Song should be called no melody cause this instrumental is straight 808s lol""}",
UgzcZ9jk-8q_PBhmDcF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2017-10-15T17:10:43.48721+00:00,0,,,cwNMEpheB4M,"{""text"":""Real Vietnamese OG""}",
UgwwbhRFimvpyvTwANR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2017-09-30T14:21:46.336001+00:00,0,,,udXYsUX71GE,"{""text"":""Bro I have the same glasses... Burberry eh ? Good look""}",
Ugzr8QoWJqm_dek8nmN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2017-08-23T16:48:02.90054+00:00,0,,,pcFI_dJBjy8,"{""text"":""Quick question quang: In previous video you said you do these videos in the morning then go to work at night. Now that you're blowing up do you still work your job??""}",
UgywMSSvmBzrGy1bwd94AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2017-08-17T07:38:11.785767+00:00,0,,,hTYe_q5SAx4,"{""text"":""is nba worldwide cause nba youngboy isnt from the same set ?\u003e""}",
UgzCjwfA9MNNS9ruS7Z4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2017-08-17T05:02:40.264526+00:00,0,,,dDHzOrssz90,"{""text"":""theres 2 types of chicken eaters... one who cleans the bone and this""}",
Ugyuq-1B-GjiO8obH4x4AaABAg.8W0ClzDEGoc8WLCAi7m3Pq,UCbClSOItOom1IT8ZLKnZYEA,2017-08-16T21:43:42.973872+00:00,0,Ugyuq-1B-GjiO8obH4x4AaABAg,,ipM9SkIkwCY,"{""text"":""although the lyrics are simple, its something that this guy has been through and people feel it. not only that it is actually a lot more different than other upcoming hip hop artists""}",Ugyuq-1B-GjiO8obH4x4AaABAg





