Comment ID,Channel ID,Comment Create Timestamp,Price,Currency code,Super Thanks Identifier,Parent Comment ID,Post ID,Video ID,Comment Text,Price Tier ID,Top-Level Comment ID
UgxKIg18IMxs4tbWCKR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-07T23:35:16.584474+00:00,0,,,,,e6zvgqh7QMc,"{""text"":""It’s never too late!""}",,
UgxSocNuMyieIatMRtx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-07T21:54:36.463174+00:00,0,,,,,9Ei1Pe9NGvQ,"{""text"":""77""}",,
UgwNk3uJLpz3M_sVPI54AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-07T06:02:38.207382+00:00,0,,,,,b1c4QOZNJL4,"{""text"":""fingers crossed 🤞""}",,
UgxoHm3eO_8vaQpy1Ed4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-07T03:01:44.635418+00:00,0,,,,,q7edOECslss,"{""text"":""love this ai ,reminds me of kickin it with the boiz""}",,
UgzLLr9_NK-peeHa8jN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-05T20:29:33.685155+00:00,0,,,,,MD_LX8n9SJQ,"{""text"":""this is so different based on visual and speech. i am seeing signals of pay attention, and it’s juking my expectations causing me to lose attention. i can feel signal of guidance""}",,
UgwBAOQYaFXLiv4Z4Lh4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-04T20:46:52.238109+00:00,0,,,,,pH4AGPr4DJo,"{""text"":""11""}",,
Ugxuhfx-GToNvOAWlFt4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-31T07:05:47.412507+00:00,0,,,,,RReKUR9wQs0,"{""text"":""11 11 universe""}",,
UgyNgYi9OTzjXHqxIQt4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-31T07:04:13.955514+00:00,0,,,,,_JGxoGxqpkU,"{""text"":""STAY BLESS-ED""}",,
UgyIQok7v1CoaxpFu694AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-30T12:38:28.517279+00:00,0,,,,,ELH9UR11fus,"{""text"":""joker life""}",,
Ugy-RKGtq86wMjSW2rp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-30T12:12:04.169976+00:00,0,,,,,Ni3EAO1V18c,"{""text"":""JOKER n GOD n SOL""}",,
UgwlF3Qkc5UuZH9eqgB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-30T11:59:07.365739+00:00,1990000,USD,440002540510841,,,17hWnluR6o8,"{""text"":""Use this as a thread to block the chains""}",super_vod_item_2_usd,
Ugyy4AmUURoyxp64FMR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-30T10:47:23.467411+00:00,0,,,,,QnGO7vAbLA4,"{""text"":""777""},{""text"":""\n""},{""text"":""\n""},{""text"":"" I choose peace cause i’m on my P shit.""}",,
Ugwc6HnGsZ-mEM6KVyR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-30T05:06:37.342551+00:00,0,,,,,5oxYtsJuYqM,"{""text"":""222""}",,
UgzHpZSBNoPT7eRUW4l4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-29T19:06:01.802819+00:00,0,,,,,J7hUlhB7hNQ,"{""text"":""THANK YOUUUU""}",,
UgzQpE_oom7khSaQKqp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-29T19:05:56.18511+00:00,0,,,,,J7hUlhB7hNQ,"{""text"":""777 AMEN PLZ!!!""}",,
UgzT_8F_Usx8Lj_jXDx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-29T08:01:22.678916+00:00,0,,,,,k6U7V9MAcyw,"{""text"":""Remnant to keep flame alive. flow like da river""}",,
Ugz3aBKKjXjyHd_m-yh4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-29T02:56:11.785053+00:00,0,,,,,nT_YDs3CcJE,"{""text"":""love u""}",,
UgwuV3lThoUTNw_277d4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-28T15:01:11.532304+00:00,0,,,,,0ftDP4zctBI,"{""text"":""this is true till u hit a reverse uno 😂🎉""}",,
UgwsjK2HELEaYgkT22N4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-28T04:53:02.206905+00:00,0,,,,,43mtny_1TNk,"{""text"":""TECHO HEAVEN""}",,
UgzsWkz5hZP5Ubg0gTZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-28T02:45:35.54331+00:00,0,,,,,48eLHj9CxXM,"{""text"":""trust 😊""}",,
UgzBQHr6N2cPkgZClsh4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-27T17:44:25.771397+00:00,0,,,,,6pdYuvS080Y,"{""text"":""777❤😊""}",,
UgxjejZD0iJK8b1ab1R4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-27T08:36:38.68168+00:00,0,,,,,OG5A_QpgGrg,"{""text"":""small tot""}",,
Ugz4PSwUly2HETu49Fp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-26T19:00:36.244138+00:00,0,,,,,PIx9ZeEXw-s,"{""text"":""coincidence i hear the planes zoom in while watchin. shout out the most high""}",,
Ugxj2PtdMCITgptH6O14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-26T17:26:55.80724+00:00,0,,,,UgkxiI_lGKQBzP_y2iJrtOYrQolsaLzhlm7j,,"{""text"":""it’s been x years since this song came out???? 😮""}",,
Ugz3NBd7YGUb3ZMQweB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-24T20:17:31.857593+00:00,0,,,,,5GMGY56_nmo,"{""text"":""No limit 📈📈🎉❤😂😢😮😅😊""}",,
Ugy6-T724ra9Y3IV7Zd4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-23T00:07:44.505715+00:00,0,,,,,HKOyhJPn_QM,"{""text"":""This a heavy message. But people do what they do and do as they please. Anyone else feel like that’s what it is??""}",,
Ugz64LgzcpKzbiWGW6Z4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-22T23:59:48.543029+00:00,0,,,,,UvSw1C3oOIU,"{""text"":""It takes dissection to show who dissects someone better. Only then will it be proven. Those who’ve been dissected… was it really??? ❤😂""}",,
UgwZrY0d-6LSPbSXDvZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-08-22T15:35:19.137385+00:00,0,,,,,Z-YbyaRoOq0,"{""text"":""Leveled up on em 💪 ""},{""text"":""\n""},{""text"":""\n""},{""text"":""New setup lookin immaculate""}",,
